"product_id","product_name","price","stock_quantity","weight","unit","brand","expiry_date","is_vegan","created_at","updated_at","tax","category"
1,rice,"100.00",5,1000,g,IndiaGate,2025-12-31,true,2025-04-04 10:29:56.316,2025-04-04 10:29:56.316,,
2,Nori,"50.00",5,50,g,Yamamotoyama,2025-09-30,true,2025-04-04 10:29:56.316,2025-04-04 10:29:56.316,,
3,Cucumber,"20.00",5,300,g,Local Farm,2025-04-10,true,2025-04-04 10:29:56.316,2025-04-04 10:29:56.316,,
4,Avocado,"50.00",5,250,g,Hass,2025-04-07,true,2025-04-04 10:29:56.316,2025-04-04 10:29:56.316,,
5,Soy sauce,"150.00",5,500,ml,Kikkoman,2026-01-01,true,2025-04-04 10:29:56.316,2025-04-04 10:29:56.316,,
7,Unagi sauce,"200.00",5,250,ml,EelMaster,2025-11-20,true,2025-04-04 10:29:56.316,2025-04-04 10:29:56.316,,
8,Tempura shrimp,"200.00",5,400,g,SeaGold,2025-04-08,false,2025-04-04 10:29:56.316,2025-04-04 10:29:56.316,,
6,Unagi,"25.00",5,200,g,OceanFresh,2025-04-15,false,2025-04-04 10:29:56.316,2025-04-04 10:29:56.316,,
9,chickpeas,"50.00",2,200,"9",chickpeas,,false,2025-04-08 14:28:07.963,2025-04-08 14:28:07.963,,
10,tomatoes,"20.00",10,500,g,Vegetable,,false,2025-04-08 14:29:08.641,2025-04-08 14:29:08.641,,
11,lemon,"30.00",50,100,g,lemon,,false,2025-04-08 14:31:19.683,2025-04-08 14:31:19.683,,
12,薄力粉150g,"715円",30,250,pieces,カルピス,2025-08-14,false,2025-04-18 11:22:24.046,2025-04-18 11:22:24.046,税込10% 786円,製菓材料
13,ベーキングパウダー小さじ1,"698円",59,50,pieces,森永,2025-07-01,true,2025-04-18 11:22:24.046,2025-04-18 11:22:24.046,税込10% 767円,乳製品
14,砂糖20g,"173円",46,1,kg,キッコーマン,2026-01-14,true,2025-04-18 11:22:24.046,2025-04-18 11:22:24.046,税込8% 186円,スナック
15,塩ひとつまみ,"448円",21,200,g,明治,2025-06-24,true,2025-04-18 11:22:24.046,2025-04-18 11:22:24.046,税込8% 483円,乳製品
16,無塩バター50g,"510円",36,200,pieces,森永,2025-08-08,true,2025-04-18 11:22:24.046,2025-04-18 11:22:24.046,税込10% 561円,飲料
17,牛乳,"245円",56,200,pieces,カルピス,2025-12-03,true,2025-04-18 11:22:24.046,2025-04-18 11:22:24.046,税込10% 269円,製菓材料
18,薄力粉適量,"305円",0,10,g,ネスレ,2025-10-16,false,2025-04-18 11:22:24.046,2025-04-18 11:22:24.046,税込10% 335円,冷凍食品
19,白玉粉100g,"305円",85,10,l,雪印,2025-07-14,true,2025-04-18 11:22:24.046,2025-04-18 11:22:24.046,税込8% 329円,飲料
20,上新粉,"750円",1,500,g,キッコーマン,2025-08-27,false,2025-04-18 11:22:24.046,2025-04-18 11:22:24.046,税込8% 810円,乳製品
21,ぬるま湯180cc,"661円",88,1,kg,森永,2025-12-28,true,2025-04-18 11:22:24.046,2025-04-18 11:22:24.046,税込8% 713円,乳製品
22,サラダ油小さじ1,"184円",68,1,kg,明治,2026-02-03,false,2025-04-18 11:22:24.046,2025-04-18 11:22:24.046,税込8% 198円,乳製品
23,みりん大さじ2,"972円",78,10,pieces,ネスレ,2025-07-01,true,2025-04-18 11:22:24.046,2025-04-18 11:22:24.046,税込10% 1069円,調味料
24,砂糖大さじ2,"528円",67,10,l,カルピス,2026-01-22,true,2025-04-18 11:22:24.046,2025-04-18 11:22:24.046,税込8% 570円,乳製品
25,しょうゆ大さじ1,"296円",65,500,g,明治,2025-06-28,true,2025-04-18 11:22:24.046,2025-04-18 11:22:24.046,税込10% 325円,製菓材料
26,片栗粉大さじ1/2,"588円",14,500,ml,雪印,2025-05-25,false,2025-04-18 11:22:24.046,2025-04-18 11:22:24.046,税込10% 646円,製菓材料
27,水大さじ5,"633円",44,50,ml,ネスレ,2025-07-22,false,2025-04-18 11:22:24.046,2025-04-18 11:22:24.046,税込10% 696円,飲料
28,卵,"330円",23,500,pieces,ネスレ,2025-11-19,false,2025-04-18 11:22:24.046,2025-04-18 11:22:24.046,税込10% 363円,飲料
29,砂糖70g,"881円",4,10,pieces,森永,2025-07-02,false,2025-04-18 11:22:24.046,2025-04-18 11:22:24.046,税込8% 951円,スナック
30,薄力粉70g,"832円",16,50,ml,森永,2025-08-27,false,2025-04-18 11:22:24.046,2025-04-18 11:22:24.046,税込10% 915円,乳製品
31,牛乳,"770円",71,200,ml,森永,2025-07-15,false,2025-04-18 11:22:24.046,2025-04-18 11:22:24.046,税込10% 847円,調味料
32,サラダ油大さじ1,"916円",44,500,ml,雪印,2025-10-10,false,2025-04-18 11:22:24.046,2025-04-18 11:22:24.046,税込8% 989円,スナック
33,桜の花の塩漬け6個,"873円",71,100,g,雪印,2025-07-17,false,2025-04-18 11:22:24.046,2025-04-18 11:22:24.046,税込8% 942円,飲料
34,生クリーム,"839円",40,50,pieces,雪印,2025-07-01,true,2025-04-18 11:22:24.046,2025-04-18 11:22:24.046,税込10% 922円,スナック
35,砂糖大さじ1,"429円",65,1,kg,キッコーマン,2025-11-15,false,2025-04-18 11:22:24.046,2025-04-18 11:22:24.046,税込10% 471円,飲料
36,さくらパウダー5g,"496円",90,100,g,明治,2025-05-29,false,2025-04-18 11:22:24.046,2025-04-18 11:22:24.046,税込8% 535円,調味料
37,食用色素(赤)少々,"81円",41,100,pieces,ネスレ,2026-04-18,true,2025-04-18 11:22:24.046,2025-04-18 11:22:24.046,税込8% 87円,飲料
38,じゃがいも,"567円",59,100,g,雪印,2026-01-27,true,2025-04-18 11:22:24.046,2025-04-18 11:22:24.046,税込10% 623円,飲料
